월,일본권,중화권,동남아권,아시아기타,북미,서구기타
2015년01월,3749,1615,4986,767,315,1382
2015년02월,3855,2137,4161,553,400,1651
2015년03월,5651,4017,14136,2595,857,3319
2015년04월,7663,7295,21570,6214,2907,7878
2015년05월,14641,3992,10482,2698,2497,7602
2015년06월,3760,2515,5981,2339,1736,6100
2015년07월,1650,498,3250,2236,1235,7810
2015년08월,7037,1273,2608,2475,1252,7153
2015년09월,4685,6314,5276,2592,1866,7314
2015년10월,3109,4242,11682,2940,1807,9748
2015년11월,1662,3620,12744,3262,1057,8694
2015년12월,1771,3053,22149,2074,969,6563
2016년01월,1646,2573,5895,2152,779,5398
2016년02월,1942,3257,9444,1744,1389,5200
2016년03월,3471,4131,12458,2590,2415,8475
2016년04월,5479,7115,22600,4388,3780,8996
2016년05월,7885,6672,10148,3807,2076,8778
2016년06월,3854,7503,13007,7759,2716,11099
2016년07월,4131,8428,12724,4004,3136,9457
2016년08월,4539,10072,5845,3793,4086,11504
2016년09월,4032,9056,10830,3110,4750,11986
2016년10월,5751,12705,17822,3523,4922,12592
2016년11월,3291,6138,20958,5256,1883,8383
2016년12월,2006,5153,33757,4834,2010,7969
2017년01월,1905,4559,11771,3338,1993,6777
2017년02월,1816,4479,8372,1503,1762,5128
2017년03월,2940,3868,9976,2696,3178,7919
2017년04월,4119,8207,23263,7117,4903,16365
2017년05월,3652,7028,14691,4266,3785,12044
2017년06월,6709,8622,15664,4232,3097,12520
2017년07월,4894,9916,12748,4913,3923,13965
2017년08월,7768,8958,5036,4666,2534,9938
2017년09월,6710,7600,4821,3943,2386,8234
2017년10월,5659,7034,7483,5061,2437,9235
2017년11월,6222,4315,5348,4065,1406,6320
2017년12월,2965,3360,11454,3894,1247,4777
2018년1월,3229,3210,8722,3325,848,3770
2018년2월,3045,3953,6185,2545,870,3659
2018년3월,5311,6000,9631,3507,2067,6520
2018년4월,5984,7117,13546,3119,2056,5463
2018년5월,7576,7410,11610,2631,1582,4869
2018년6월,8664,12370,19493,3000,2620,7370
2018년7월,9145,9284,14807,3266,3049,7210
2018년8월,11084,12546,11247,4297,3046,9307
2018년9월,7660,9281,12485,3970,4151,10525
2018년10월,10075,10505,14540,4810,4624,13059
2018년11월,9218,10096,13896,4907,3546,11052
2018년12월,5643,8654,14537,4344,2811,8453
